Time_min,B_Field_1,B_Field_2,B_Field_2
1,1000.16,1005.78,1003.44
2,998.51,1003.17,1003.9
3,997.64,1003.02,1003.88
4,998.18,1007.37,1003.21
5,1000.38,100.38,1002.98
6,999.12,1004.13,1003.11
7,997.91,1003.89,1003.44
8,1003.23,101.17,1002.42
9,1003.09,1000.59,998.94
10,1001.1,1000.53,999.59
11,1002.52,1002.24,1000.04
12,1003.8,1006.92,1005
13,1002.06,1001.45,1004.58
14,1006.49,1002.39,1004.17
15,1001.16,999.67,1003.86
16,1000.33,998.98,1004.2
17,999.56,100.32,1004.14
18,1003.14,1004.91,1004.49
19,1001.55,999.52,1003.67
20,1001.03,1001.74,999.39
21,1000.67,1000.26,998.56
22,1000.37,997.49,995.54
23,1000.39,996.81,997.27
24,999.84,998.53,998.6
25,1001.51,1000.94,1002.42
26,1001.48,1002.69,1000.48
27,1000.34,998.67,999.3
28,998.11,999.96,999.51
29,998.36,1001.11,998.78
30,998.86,1000.98,998.64
